"id_plant","date","weight_kg","timing","estimated_weight_after","dryW_kg","phyto","treatment_co2","water_treatment","plant_in_pot","increment_g","day_incr","daily_transp","estimated_weight_before","daily_transp_est_20210506","daily_transp_est_20210603"
20,2021-05-10,6.745,"2_after watering","no",4.48441,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
20,2021-05-13,6.2475,"1_before watering","no",4.48441,2,"ambient","control","yes",497.500000000001,3,165.833333333334,"no",113.833333333333,NA
20,2021-05-13,6.9215,"2_after watering","no",4.48441,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
20,2021-05-17,6.323,"1_before watering","no",4.48441,2,"ambient","control","yes",598.5,4,149.625,"no",113.833333333333,NA
20,2021-05-17,6.683,"2_after watering","no",4.48441,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
20,2021-05-20,6.1855,"1_before watering","no",4.48441,2,"ambient","control","yes",497.5,3,165.833333333333,"no",113.833333333333,NA
20,2021-05-20,6.554,"2_after watering","no",4.48441,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
20,2021-05-24,6.065,"1_before watering","no",4.48441,2,"ambient","control","yes",489,4,122.25,"no",113.833333333333,NA
20,2021-05-24,6.402,"2_after watering","no",4.48441,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
20,2021-05-27,5.8525,"1_before watering","no",4.48441,2,"ambient","control","yes",549.5,3,183.166666666667,"no",113.833333333333,NA
20,2021-05-27,6.232,"2_after watering","no",4.48441,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
20,2021-05-31,5.736,"1_before watering","no",4.48441,2,"ambient","control","yes",496,4,124,"no",113.833333333333,NA
20,2021-05-31,6.1085,"2_after watering","no",4.48441,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
20,2021-06-01,6.034,"1_before watering","no",4.48441,2,"ambient","control","yes",74.5000000000005,1,NA,"no",113.833333333333,NA
23,2021-04-29,6.9055,"2_after watering","no",4.43329,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
23,2021-05-03,6.59416666666667,"1_before watering","no",4.43329,2,"ambient","drought","yes",301.333333333333,4,NA,"yes",75.3333333333333,NA
23,2021-05-03,6.8955,"2_after watering","no",4.43329,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
23,2021-05-06,6.6695,"1_before watering","no",4.43329,2,"ambient","drought","yes",226,3,75.3333333333333,"no",75.3333333333333,NA
23,2021-05-06,6.961,"2_after watering","no",4.43329,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
23,2021-05-07,6.908,"1_before watering","no",4.43329,2,"ambient","drought","yes",52.9999999999999,1,52.9999999999999,"no",75.3333333333333,NA
23,2021-05-10,6.45,"1_before watering","no",4.43329,2,"ambient","drought","yes",458,3,152.666666666667,"no",75.3333333333333,NA
23,2021-05-10,6.829,"2_after watering","no",4.43329,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
23,2021-05-12,6.4695,"1_before watering","no",4.43329,2,"ambient","drought","yes",359.5,2,179.75,"no",75.3333333333333,NA
