id_plant,date,weight_kg,timing,dryW_kg,phyto,treatment_co2,water_treatment,plant_in_pot
24,12/05/2021,7.475,2_after watering,4.64498,2,ambient,drought,yes
24,17/05/2021,7.075,1_before watering,4.64498,2,ambient,drought,yes
24,20/05/2021,6.763,1_before watering,4.64498,2,ambient,drought,yes
24,24/05/2021,6.449,1_before watering,4.64498,2,ambient,drought,yes
24,31/05/2021,6.0405,1_before watering,4.64498,2,ambient,drought,yes
24,03/06/2021,5.9415,1_before watering,4.64498,2,ambient,drought,yes
24,08/06/2021,5.847,1_before watering,4.64498,2,ambient,drought,yes
25,30/04/2021,6.7525,2_after watering,4.26597,1,elevated,drought,yes
25,04/05/2021,6.3835,1_before watering,4.26597,1,elevated,drought,yes
25,04/05/2021,6.729,2_after watering,4.26597,1,elevated,drought,yes
25,07/05/2021,6.425,1_before watering,4.26597,1,elevated,drought,yes
25,07/05/2021,6.791,2_after watering,4.26597,1,elevated,drought,yes
25,10/05/2021,6.5275,1_before watering,4.26597,1,elevated,drought,yes
25,10/05/2021,6.885,2_after watering,4.26597,1,elevated,drought,yes
25,13/05/2021,6.4515,1_before watering,4.26597,1,elevated,drought,yes
25,13/05/2021,6.881,2_after watering,4.26597,1,elevated,drought,yes
25,17/05/2021,6.32,1_before watering,4.26597,1,elevated,drought,yes
25,20/05/2021,5.881,1_before watering,4.26597,1,elevated,drought,yes
25,24/05/2021,5.656,1_before watering,4.26597,1,elevated,drought,yes
25,27/05/2021,5.5345,1_before watering,4.26597,1,elevated,drought,yes
25,31/05/2021,5.444,1_before watering,4.26597,1,elevated,drought,yes
25,03/06/2021,5.389,1_before watering,4.26597,1,elevated,drought,yes
28,29/04/2021,6.2355,2_after watering,3.97424,2,ambient,drought,yes
28,03/05/2021,NA,1_before watering,3.97424,2,ambient,drought,yes
28,03/05/2021,6.264,2_after watering,3.97424,2,ambient,drought,yes
28,06/05/2021,5.986,1_before watering,3.97424,2,ambient,drought,yes
28,06/05/2021,6.339,2_after watering,3.97424,2,ambient,drought,yes
28,07/05/2021,6.2715,1_before watering,3.97424,2,ambient,drought,yes
28,10/05/2021,5.92,1_before watering,3.97424,2,ambient,drought,yes
28,10/05/2021,6.3105,2_after watering,3.97424,2,ambient,drought,yes
28,12/05/2021,6.004,1_before watering,3.97424,2,ambient,drought,yes
28,12/05/2021,6.3725,2_after watering,3.97424,2,ambient,drought,yes
28,17/05/2021,5.751,1_before watering,3.97424,2,ambient,drought,yes
28,20/05/2021,5.442,1_before watering,3.97424,2,ambient,drought,yes
28,24/05/2021,5.2475,1_before watering,3.97424,2,ambient,drought,yes
28,27/05/2021,5.136,1_before watering,3.97424,2,ambient,drought,yes
28,31/05/2021,5.04,1_before watering,3.97424,2,ambient,drought,yes
28,02/06/2021,5.0025,1_before watering,3.97424,2,ambient,drought,yes
31,29/04/2021,6.725,2_after watering,4.46794,2,ambient,control,yes
31,03/05/2021,NA,1_before watering,4.46794,2,ambient,control,yes
31,03/05/2021,6.647,2_after watering,4.46794,2,ambient,control,yes
31,06/05/2021,6.299,1_before watering,4.46794,2,ambient,control,yes
31,06/05/2021,6.678,2_after watering,4.46794,2,ambient,control,yes
31,07/05/2021,6.7465,1_before watering,4.46794,2,ambient,control,yes
31,10/05/2021,6.317,1_before watering,4.46794,2,ambient,control,yes
31,10/05/2021,6.691,2_after watering,4.46794,2,ambient,control,yes
31,13/05/2021,6.2295,1_before watering,4.46794,2,ambient,control,yes
31,13/05/2021,6.587,2_after watering,4.46794,2,ambient,control,yes
31,17/05/2021,6.057,1_before watering,4.46794,2,ambient,control,yes
31,17/05/2021,6.4375,2_after watering,4.46794,2,ambient,control,yes
31,20/05/2021,6.055,1_before watering,4.46794,2,ambient,control,yes
31,20/05/2021,6.4415,2_after watering,4.46794,2,ambient,control,yes
31,24/05/2021,5.852,1_before watering,4.46794,2,ambient,control,yes
31,24/05/2021,6.212,2_after watering,4.46794,2,ambient,control,yes
31,27/05/2021,5.831,1_before watering,4.46794,2,ambient,control,yes
31,27/05/2021,6.202,2_after watering,4.46794,2,ambient,control,yes
31,31/05/2021,5.7295,1_before watering,4.46794,2,ambient,control,yes
31,31/05/2021,6.1055,2_after watering,4.46794,2,ambient,control,yes
31,03/06/2021,5.755,1_before watering,4.46794,2,ambient,control,yes
31,03/06/2021,6.15,2_after watering,4.46794,2,ambient,control,yes
