"phytotron","ID_plant","water_treatment1","water_treatment","date_i","height_cm_i","stem_width_1_cm_i","stem_width_2_cm_i","branching_i","date_f","height_cm_f","stem_width_1_cm_f","stem_width_2_cm_f","branching_f","OBS","Date_i","Date_f","n_days"
1,70,"control","control",20210420,127.5,0.94,0.99,18,20210518,127,1.1,1.05,18,"destructive harvest",2021-04-20,2021-05-18,28
1,71,"drought","drought",20210420,119,0.9,0.9,13,20210608,119,1.29,1.22,14,"Final measurement, not harvested",2021-04-20,2021-06-08,49
1,72,"control","control",20210420,114,1,1.01,29,20210505,110,1.16,1.16,29,"destructive harvest",2021-04-20,2021-05-05,15
1,73,"drought","drought",20210420,123,1.14,1.03,19,20210608,124,1.25,1.37,18,"Final measurement, not harvested",2021-04-20,2021-06-08,49
2,74,"drought","drought",20210420,121,1.33,1.38,28,20210608,121,1.4,1.44,29,"Final measurement, not harvested",2021-04-20,2021-06-08,49
2,75,"drought","drought",20210420,124,1.23,1.14,27,20210527,118,1.24,1.29,22,"destructive harvest",2021-04-20,2021-05-27,37
2,76,"drought","drought",20210420,119,1,0.9,23,20210608,118,1.13,1.13,22,"Final measurement, not harvested",2021-04-20,2021-06-08,49
2,77,"drought","drought",20210420,108,1.38,1.41,22,20210602,109,1.54,1.45,21,"destructive harvest",2021-04-20,2021-06-02,43
1,78,"drought","drought",20210420,125.5,1.21,1.28,20,20210608,126,1.5,1.35,18,"Final measurement, not harvested",2021-04-20,2021-06-08,49
2,79,"drought","drought",20210420,121,1.6,1.36,23,20210608,122,1.48,1.41,25,"Final measurement, not harvested",2021-04-20,2021-06-08,49
2,80,"control","control",20210420,111,1.22,1.24,12,20210607,118,1.33,1.32,19,"destructive harvest",2021-04-20,2021-06-07,48
2,81,"moderate_drought","control",20210420,114,1.12,1.1,28,20210608,114,1.29,1.36,28,"destructive harvest",2021-04-20,2021-06-08,49
1,82,"drought","drought",20210420,127,1.17,1.13,22,20210608,127,1.44,1.4,20,"Final measurement, not harvested",2021-04-20,2021-06-08,49
2,83,"drought","drought",20210420,122.5,1.11,1.11,22,20210608,124,1.4,1.41,22,"Final measurement, not harvested",2021-04-20,2021-06-08,49
2,84,"control","control",20210420,118,1.05,1.2,22,20210504,118,1.04,1.07,22,"destructive harvest",2021-04-20,2021-05-04,14
1,85,"drought","drought",20210420,108,1.47,1.36,17,20210520,115,1.5,1.5,20,"destructive harvest",2021-04-20,2021-05-20,30
2,86,"control","control",20210420,112,1.28,1.29,22,20210525,114,1.43,1.43,21,"destructive harvest",2021-04-20,2021-05-25,35
1,87,"drought","drought",20210420,128,1.65,1.65,20,20210505,132,1.67,1.67,24,"destructive harvest",2021-04-20,2021-05-05,15
2,88,"control","control",20210420,118,1.39,1.41,24,20210525,116,1.59,1.59,25,"destructive harvest",2021-04-20,2021-05-25,35
1,89,"control","control",20210420,119.5,1.1,1.09,21,20210610,125,1.34,1.3,23,"destructive harvest",2021-04-20,2021-06-10,51
1,90,"drought_test","drought",20210420,114,1.27,1.24,26,20210627,135,1.69,1.69,19,"Final measurement, not harvested. Fueron medidas por Nerea días después de que se la llevara, el diámetro es calculado a partir de valores de perímetro. Había dos etiquetas en esta maceta.",2021-04-20,2021-06-27,68
2,91,"control","control",20210420,116,1.11,1.21,18,20210608,115,1.29,1.3,16,"Final measurement, not harvested",2021-04-20,2021-06-08,49
2,92,"drought","drought",20210420,124,1.34,1.27,23,20210519,127,1.39,1.35,23,"destructive harvest",2021-04-20,2021-05-19,29
1,93,"moderate_drought","control",20210420,127.5,1.63,1.69,27,20210609,131,1.97,1.74,27,"destructive harvest",2021-04-20,2021-06-09,50
2,94,"drought","drought",20210420,126,1.21,1.3,20,NA,NA,NA,NA,NA,NA,2021-04-20,NA,NA
2,95,"drought","drought",20210420,126,1.27,1.34,30,20210504,127,1.35,1.36,29,"destructive harvest",2021-04-20,2021-05-04,14
1,96,"control","control",20210420,119,1.22,1.22,13,20210525,122,1.38,1.37,16,"destructive harvest",2021-04-20,2021-05-25,35
2,97,"drought","drought",20210420,122,0.92,0.9,23,20210526,123,1.09,1.01,22,"destructive harvest",2021-04-20,2021-05-26,36
2,98,"drought","drought",20210420,142,1.69,1.47,36,20210519,144,1.59,1.63,25,"destructive harvest",2021-04-20,2021-05-19,29
2,99,"drought","drought",20210420,125,1.21,1.18,23,20210526,122,1.33,1.3,23,"destructive harvest",2021-04-20,2021-05-26,36
2,100,"drought","drought",20210420,120,1.3,1.2,26,20210526,118,1.43,1.28,24,"destructive harvest",2021-04-20,2021-05-26,36
1,101,"drought","drought",20210420,128,1.25,1.3,23,20210603,131,1.44,1.42,25,"destructive harvest",2021-04-20,2021-06-03,44
2,102,"drought","drought",20210420,122,0.9,1.09,16,20210526,122,1.04,1.16,17,"destructive harvest",2021-04-20,2021-05-26,36
