"ID_plant","N_days_w","campaign","CO2","water_treatment","rwc","leafID","FW","SW","DW","diff","maxDiff","isMax"
36,1,4,"elevated","control",0.971039182282794,"C",0.1082,0.1099,0.0512,0.00169999999999999,0.00169999999999999,"yes"
37,7,2,"ambient","drought",0.958801498127341,"A",0.1575,0.1619,0.0551,0.00439999999999999,0.00470000000000001,"no"
37,7,2,"ambient","drought",0.951295336787565,"B",0.1442,0.1489,0.0524,0.00470000000000001,0.00470000000000001,"yes"
37,7,2,"ambient","drought",0.953917050691244,"C",0.1278,0.1318,0.045,0.004,0.00470000000000001,"no"
39,7,5,"elevated","moderate drought",0.966923925027563,"A",0.1786,0.1816,0.0909,0.003,0.003,"yes"
39,7,5,"elevated","moderate drought",0.983914209115282,"B",0.1466,0.1478,0.0732,0.00119999999999998,0.003,"no"
39,7,5,"elevated","moderate drought",0.981507823613087,"C",0.1397,0.141,0.0707,0.0013,0.003,"no"
40,1,5,"ambient","control",0.997706422018349,"A",0.1623,0.1625,0.0753,0.000200000000000006,0.001,"no"
40,1,5,"ambient","control",0.986541049798116,"B",0.1329,0.1339,0.0596,0.001,0.001,"yes"
40,1,5,"ambient","control",0.992685475444096,"C",0.1744,0.1751,0.0794,0.000700000000000006,0.001,"no"
41,15,3,"ambient","drought",NA,"A",NA,NA,NA,NA,-Inf,NA
41,15,3,"ambient","drought",NA,"B",NA,NA,NA,NA,-Inf,NA
41,15,3,"ambient","drought",NA,"C",NA,NA,NA,NA,-Inf,NA
42,1,4,"ambient","control",0.966042154566745,"A",0.1529,0.1558,0.0704,0.00289999999999999,0.00340000000000001,"no"
42,1,4,"ambient","control",0.994949494949495,"B",0.1071,0.1074,0.048,0.000299999999999995,0.00340000000000001,"no"
42,1,4,"ambient","control",0.953103448275862,"C",0.1309,0.1343,0.0618,0.00340000000000001,0.00340000000000001,"yes"
44,1,2,"elevated","control",0.901895206243032,"A",0.1509,0.1597,0.07,0.0088,0.0088,"yes"
44,1,2,"elevated","control",0.926923076923077,"B",0.1401,0.1458,0.0678,0.00570000000000001,0.0088,"no"
44,1,2,"elevated","control",0.890445859872611,"C",0.1344,0.143,0.0645,0.0086,0.0088,"no"
45,7,2,"elevated","drought",0.909252669039146,"A",0.1898,0.2,0.0876,0.0102,0.0102,"yes"
45,7,2,"elevated","drought",0.936657681940701,"B",0.1303,0.135,0.0608,0.00470000000000001,0.0102,"no"
45,7,2,"elevated","drought",0.907692307692308,"C",0.175,0.1846,0.0806,0.0096,0.0102,"no"
46,28,5,"elevated","drought",0.975476839237057,"A",0.1414,0.1432,0.0698,0.0018,0.0018,"yes"
46,28,5,"elevated","drought",0.994604316546762,"B",0.1089,0.1092,0.0536,0.000300000000000009,0.0018,"no"
46,28,5,"elevated","drought",0.981773997569866,"C",0.1606,0.1621,0.0798,0.0015,0.0018,"no"
50,14,3,"elevated","drought",0.956456456456457,"A",0.1249,0.1278,0.0612,0.0029,0.0033,"no"
50,14,3,"elevated","drought",0.956291390728477,"B",0.1356,0.1389,0.0634,0.0033,0.0033,"yes"
50,14,3,"elevated","drought",0.940239043824701,"C",0.0939,0.0969,0.0467,0.003,0.0033,"no"
51,7,5,"ambient","moderate drought",0.935912938331318,"A",0.1473,0.1526,0.0699,0.00530000000000003,0.00530000000000003,"yes"
51,7,5,"ambient","moderate drought",0.937399678972713,"B",0.1117,0.1156,0.0533,0.0039,0.00530000000000003,"no"
51,7,5,"ambient","moderate drought",0.942372881355932,"C",0.1081,0.1115,0.0525,0.0034,0.00530000000000003,"no"
52,7,2,"elevated","drought",0.863636363636364,"A",0.1236,0.1335,0.0609,0.00990000000000001,0.0133,"no"
52,7,2,"elevated","drought",0.864293659621802,"B",0.1515,0.1637,0.0738,0.0122,0.0133,"no"
52,7,2,"elevated","drought",0.88028802880288,"C",0.1903,0.2036,0.0925,0.0133,0.0133,"yes"
54,1,5,"elevated","control",0.985489721886336,"A",0.1691,0.1703,0.0876,0.00120000000000001,0.00209999999999999,"no"
54,1,5,"elevated","control",0.982871125611746,"B",0.2449,0.247,0.1244,0.00209999999999999,0.00209999999999999,"yes"
54,1,5,"elevated","control",0.979094076655052,"C",0.1744,0.1762,0.0901,0.0018,0.00209999999999999,"no"
56,1,2,"ambient","control",0.943643512450852,"A",0.1295,0.1338,0.0575,0.0043,0.0048,"no"
56,1,2,"ambient","control",0.934402332361516,"B",0.1133,0.1178,0.0492,0.0045,0.0048,"no"
56,1,2,"ambient","control",0.905511811023622,"C",0.0838,0.0886,0.0378,0.0048,0.0048,"yes"
57,14,3,"ambient","drought",0.903177004538578,"A",0.1123,0.1187,0.0526,0.0064,0.0103,"no"
57,14,3,"ambient","drought",0.906804733727811,"B",0.1144,0.1207,0.0531,0.0063,0.0103,"no"
57,14,3,"ambient","drought",0.868622448979592,"C",0.1274,0.1377,0.0593,0.0103,0.0103,"yes"
58,7,5,"elevated","moderate drought",0.928134556574924,"A",0.1219,0.1266,0.0612,0.0047,0.0047,"yes"
58,7,5,"elevated","moderate drought",0.992633517495396,"B",0.1043,0.1047,0.0504,0.000399999999999998,0.0047,"no"
