phytotron,ID_plant,water_treatment1,water_treatment,date_i,initial_height_cm,initial_stem_width_1_cm,initial_stem_width_2_cm,initial_stem_width_mean,initial_branching,initial_r^2,initial_vol,date_f,height_cm,stem_width_1_cm,stem_width_2_cm,stem_width_mean,branching,r^2,vol,OBS,n_days,diff_vol,diff_vol_corrections,DAYS_diff_vol_corrections
2,92,drought,drought,20210420,124,1.34,1.27,1.305,23,0.42575625,55.2855119,20210519,127,1.39,1.35,1.37,23,0.469225,62.40415141,destructive harvest,29,7.118639514,7.118639514,0.245470328
2,98,drought,drought,20210420,142,1.69,1.47,1.58,36,0.6241,92.80495082,20210519,144,1.59,1.63,1.61,25,0.648025,97.71986781,destructive harvest,29,4.914916987,4.914916987,0.169479896
2,106,drought,drought,20210420,111,1.27,1.41,1.34,21,0.4489,52.17965486,20210519,121,1.35,1.48,1.415,21,0.50055625,63.42593479,destructive harvest,29,11.24627993,11.24627993,0.387802756
2,57,drought,drought,20210420,114,1.53,1.12,1.325,18,0.43890625,52.39685672,20210526,112,1.64,1.67,1.655,15,0.68475625,80.31240763,destructive harvest,36,27.91555091,27.91555091,0.77543197
2,97,drought,drought,20210420,122,0.92,0.9,0.91,23,0.207025,26.44912091,20210526,123,1.09,1.01,1.05,22,0.275625,35.50196048,destructive harvest,36,9.052839571,9.052839571,0.251467766
2,99,drought,drought,20210420,125,1.21,1.18,1.195,23,0.35700625,46.73200885,20210526,122,1.33,1.3,1.315,23,0.43230625,55.23062566,destructive harvest,36,8.498616812,8.498616812,0.236072689
2,100,drought,drought,20210420,120,1.3,1.2,1.25,26,0.390625,49.08738521,20210526,118,1.43,1.28,1.355,24,0.45900625,56.71908608,destructive harvest,36,7.631700864,7.631700864,0.211991691
2,102,drought,drought,20210420,122,0.9,1.09,0.995,16,0.24750625,31.62092855,20210526,122,1.04,1.16,1.1,17,0.3025,38.64682563,destructive harvest,36,7.02589708,7.02589708,0.195163808
2,3,drought,drought,20210420,125,0.99,0.96,0.975,19,0.23765625,31.10913038,20210527,124,1.09,1.04,1.065,20,0.28355625,36.82048692,destructive harvest,37,5.711356539,5.711356539,0.154360988
2,23,drought,drought,20210420,110,0.92,0.95,0.935,15,0.21855625,25.17587268,20210527,111,1.03,1.05,1.04,14,0.2704,31.43100618,destructive harvest,37,6.255133503,6.255133503,0.169057662
2,33,drought,drought,20210420,127,1.37,1.42,1.395,19,0.48650625,64.70245551,20210527,124,1.49,1.54,1.515,18,0.57380625,74.51017398,destructive harvest,37,9.80771847,9.80771847,0.265073472
