plant_ID,date,weight_kg,timing,water_plate,OBS_weight
130,20210507,5.9985,after watering,yes,nothing
3,20210507,6.7285,24 after watering,yes,nothing
20,20210507,6.9265,24 after watering,no,nothing
23,20210507,6.908,24 after watering,yes,nothing
24,20210507,7.2885,24 after watering,yes,nothing
28,20210507,6.2715,24 after watering,no,nothing
31,20210507,6.7465,24 after watering,yes,nothing
33,20210507,6.277,24 after watering,yes,nothing
41,20210507,6.511,24 after watering,yes,nothing
42,20210507,6.62,24 after watering,yes,nothing
64,20210507,6.8135,24 after watering,yes,nothing
75,20210507,6.946,24 after watering,no,nothing
77,20210507,7.697,24 after watering,yes,nothing
80,20210507,7.2015,24 after watering,yes,nothing
100,20210507,999,24 after watering,presumably no,nothing
107,20210507,7.172,24 after watering,yes,nothing
116,20210507,7.09,24 after watering,yes,nothing
121,20210507,6.105,24 after watering,yes,nothing
122,20210507,5.5095,24 after watering,no,nothing
123,20210507,6.4695,24 after watering,no,nothing
124,20210507,6.9555,24 after watering,yes,nothing
125,20210507,6.3795,24 after watering,no,nothing
6,20210507,7.0115,before watering,no,nothing
14,20210507,6.4915,before watering,no,nothing
25,20210507,6.425,before watering,no,nothing
35,20210507,6.492,before watering,no,nothing
46,20210507,6.5745,before watering,yes,nothing
50,20210507,6.615,before watering,no,nothing
54,20210507,6.0225,before watering,no,nothing
61,20210507,6.459,before watering,no,nothing
68,20210507,6.628,before watering,no,nothing
69,20210507,6.8945,before watering,no,nothing
89,20210507,7.4125,before watering,yes,nothing
101,20210507,6.8135,before watering,no,nothing
104,20210507,7.17,before watering,no,nothing
111,20210507,6.9525,before watering,no,nothing
112,20210507,6.6905,before watering,no,nothing
126,20210507,5.9075,before watering,no,nothing
127,20210507,5.8425,before watering,no,nothing
128,20210507,5.89,before watering,no,nothing
129,20210507,6.1535,before watering,no,nothing
130,20210507,5.7605,before watering,no,nothing
6,20210510,7.0615,before watering,no,nothing
14,20210510,6.4645,before watering,no,nothing
25,20210510,6.5275,before watering,no,nothing
35,20210510,6.5025,before watering,no,regada con 800 mL
46,20210510,6.596,before watering,yes,nothing
50,20210510,6.5675,before watering,no,nothing
54,20210510,6.2295,before watering,no,nothing
61,20210510,6.5135,before watering,no,nothing
68,20210510,6.6505,before watering,no,regada con 800 mL
69,20210510,7.161,before watering,no,nothing
89,20210510,7.372,before watering,no,regada con 800 mL
101,20210510,6.8435,before watering,no,nothing
104,20210510,7.1735,before watering,no,regada con 800 mL
111,20210510,7.045,before watering,no,regada con 800 mL
112,20210510,6.6405,before watering,no,regada con 800 mL
126,20210510,6.022,before watering,no,nothing
127,20210510,5.953,before watering,no,nothing
128,20210510,6.0555,before watering,no,nothing
129,20210510,6.291,before watering,no,nothing
130,20210510,5.924,before watering,no,nothing
3,20210510,6.652,before watering,no,nothing
20,20210510,6.374,before watering,no,nothing
23,20210510,6.45,before watering,no,nothing
24,20210510,7.14,before watering,no,nothing
28,20210510,5.92,before watering,no,nothing
31,20210510,6.317,before watering,no,nothing
33,20210510,5.832,before watering,no,nothing
41,20210510,6.389,before watering,no,nothing
42,20210510,6.312,before watering,no,nothing
64,20210510,6.47,before watering,no,nothing
75,20210510,6.5975,before watering,no,nothing
77,20210510,7.505,before watering,no,nothing
80,20210510,7.084,before watering,no,nothing
107,20210510,6.944,before watering,no,nothing
116,20210510,6.676,before watering,no,nothing
121,20210510,5.9795,before watering,no,nothing
122,20210510,5.4005,before watering,no,nothing
123,20210510,6.2735,before watering,no,nothing
124,20210510,6.903,before watering,no,nothing
125,20210510,6.26,before watering,no,nothing
6,20210510,7.22,after watering,presumably no,nothing
14,20210510,6.8245,after watering,presumably no,nothing
25,20210510,6.885,after watering,presumably no,nothing
35,20210510,6.7015,after watering,presumably no,nothing
46,20210510,6.736,after watering,yes,lots of water in the plate
50,20210510,6.9305,after watering,presumably no,nothing
54,20210510,6.6025,after watering,presumably no,nothing
61,20210510,6.8145,after watering,presumably no,nothing
68,20210510,6.89,after watering,presumably no,nothing
69,20210510,7.466,after watering,presumably no,nothing
89,20210510,7.5505,after watering,presumably no,nothing
101,20210510,7.1935,after watering,presumably no,nothing
104,20210510,7.4655,after watering,presumably no,nothing
111,20210510,7.3245,after watering,presumably no,nothing
126,20210510,6.1415,after watering,presumably no,nothing
127,20210510,6.2535,after watering,presumably no,nothing
128,20210510,6.4215,after watering,presumably no,nothing
129,20210510,6.41,after watering,presumably no,nothing
130,20210510,6.035,after watering,presumably no,nothing
3,20210510,6.8395,after watering,presumably no,nothing
20,20210510,6.745,after watering,presumably no,nothing
23,20210510,6.829,after watering,presumably no,nothing
24,20210510,7.3935,after watering,presumably no,nothing
28,20210510,6.3105,after watering,presumably no,nothing
31,20210510,6.691,after watering,presumably no,nothing
33,20210510,6.22,after watering,presumably no,nothing
41,20210510,6.5875,after watering,presumably no,nothing
42,20210510,6.6685,after watering,presumably no,nothing
64,20210510,6.8335,after watering,presumably no,nothing
75,20210510,6.986,after watering,presumably no,nothing
75,20210510,7.094,after watering,presumably no,nothing
77,20210510,7.8075,after watering,presumably no,nothing
80,20210510,7.2775,after watering,presumably no,nothing
107,20210510,7.243,after watering,presumably no,nothing
112,20210510,6.9745,after watering,presumably no,nothing
116,20210510,7.1135,after watering,presumably no,nothing
121,20210510,6.105,after watering,presumably no,nothing
122,20210510,5.5105,after watering,presumably no,nothing
123,20210510,6.3935,after watering,presumably no,nothing
124,20210510,7.0425,after watering,presumably no,nothing
125,20210510,6.378,after watering,presumably no,nothing
3,20210512,6.7275,before watering,yes,nothing
23,20210512,6.4695,before watering,no,nothing
24,20210512,7.243,before watering,no,nothing
28,20210512,6.004,before watering,no,nothing
33,20210512,5.8785,before watering,no,nothing
41,20210512,6.4905,before watering,no,nothing
75,20210512,6.7295,before watering,no,nothing
77,20210512,7.602,before watering,no,nothing
107,20210512,7.0435,before watering,no,nothing
116,20210512,6.8315,before watering,no,nothing
122,20210512,5.4385,before watering,no,nothing
123,20210512,6.26,before watering,no,nothing
124,20210512,6.065,before watering,no,nothing
3,20210512,6.902,after watering,presumably no,nothing
23,20210512,6.872,after watering,presumably no,nothing
24,20210512,7.475,after watering,presumably no,nothing
28,20210512,6.3725,after watering,presumably no,nothing
33,20210512,6.3015,after watering,presumably no,nothing
41,20210512,6.675,after watering,presumably no,nothing
77,20210512,7.8805,after watering,presumably no,nothing
107,20210512,7.3645,after watering,presumably no,nothing
116,20210512,7.1995,after watering,presumably no,nothing
122,20210512,5.6505,after watering,presumably no,nothing
123,20210512,6.4585,after watering,presumably no,nothing
124,20210512,7.0685,after watering,presumably no,nothing
6,20210513,7.013,before watering,presumably no,nothing
14,20210513,6.4785,before watering,presumably no,nothing
25,20210513,6.4515,before watering,presumably no,nothing
35,20210513,6.4855,before watering,presumably no,nothing
46,20210513,6.587,before watering,presumably no,nothing
50,20210513,6.599,before watering,presumably no,nothing
54,20210513,6.143,before watering,presumably no,nothing
61,20210513,6.55,before watering,presumably no,nothing
68,20210513,6.6215,before watering,presumably no,nothing
69,20210513,7.182,before watering,presumably no,nothing
89,20210513,7.377,before watering,presumably no,nothing
101,20210513,6.843,before watering,presumably no,nothing
104,20210513,7.154,before watering,presumably no,nothing
