ID_plant,sampling_date,long_Shist,diam_Shist,long_Sphl,diam_Sphl,TW_plant_kg,FW_Sphl,FW_SNSC,FW_Shist,FW_L1phl,FW_L2phl,FW_L3phl,FW_10LNSC,FW_10LSLA,FW_rootNSC,FW_S,FW_L,FW_root,FW_ss_soil,FW_soil_pot_kg,SW_L1phl,SW_L2phl,SW_L3phl,DW_L1phl,DW_L2phl,DW_L3phl,DW_10LSLA,DW_S,DW_L,DW_root,DW_ss_soil,DW_soil,W_pot,OBS
36,20210601,9999,9999,9.57,1.27,6.1245,13.5717,3.1476,9999,0.102,0.0974,0.1082,0.5634,0.8963,3.8561,54.92,16.15,9999,220.96,9999,0.1034,0.0989,0.1099,0.0481,0.0464,0.0512,0.4453,25.2,7.81,9999,163.2,9999.0000,9999,nothing
37,20210519,1.17,1.26,8.18,1.5,5.133,15.7764,3.8658,1.5383,0.1575,0.1442,0.1278,1.2286,1.155,3.6775,67.45,28.95,9999,169.78,9999,0.1619,0.1489,0.1318,0.0551,0.0524,0.045,0.4984,33.32,12.25,9999,135.98,9999.0000,9999,nothing
39,20210609,9999,9999,6.01,1.31,5.97,9.5698,4.3193,9999,0.1786,0.1466,0.1397,0.8135,1.41,3.5777,68.9,18.78,9999,192.33,9999,0.1816,0.1478,0.141,0.0909,0.0732,0.0707,0.7305,33.85,9.36,9999,144.08,9999.0000,9999,nothing
40,20210607,9999,9999,5.43,1.46,6.0525,10.7171,16.3655,9999,0.1623,0.1329,0.1744,1.0226,1.017,4.6086,73.63,20.63,9999,213.29,9999,0.1625,0.1339,0.1751,0.0753,0.0596,0.0794,0.5032,37.69,9.56,9999,159.55,9999.0000,9999,Submuestra de suelo secada a 70ºC. FW_SNSC muy alto??
41,20210527,9999,9999,9,0.97,5.587,7.8438,2.0661,9999,9999,9999,9999,9999,0.7946,9999,28.75,8.91,44.74,9999,5.443,9999,9999,9999,9999,9999,9999,0.3785,13.78,4.32,14.94,9999,4027.09,242.7,Subset de pesada del día 27/05
42,20210601,9999,9999,10.08,1.14,6.1915,10.7202,4.0408,9999,0.1529,0.1071,0.1309,0.863,1.2373,4.2642,44.98,12.3,62.84,9999,6.01,0.1558,0.1074,0.1343,0.0704,0.048,0.0618,0.577,21.86,5.8,17.83,9999,4092.8000,245.07,Tiene muestra de ambos tipos de muestra de suelo (ss_soil y soil)
44,20210518,0.72,1.15,8.59,1.29,6.731,10.5217,2.3726,0.8573,0.1509,0.1401,0.1344,1.098,0.8116,3.6002,51.07,19.6,9999,196.87,9999,0.1597,0.1458,0.143,0.07,0.0678,0.0645,0.3755,23.7,8.72,9999,140.51,9999.0000,9999,nothing
45,20210520,0.98,1.33,6.8,1.37,6.280,9.7522,4.2793,1.4114,0.1898,0.1303,0.175,1.2027,1.1048,9999,67.92,21.8,9999,198.7,9999,0.2,0.135,0.1846,0.0876,0.0608,0.0806,0.4718,32.11,9.33,9999,147,9999.0000,9999,nothing
46,20210609,1.68,1.2,10.75,0.82,5.342,7.289,3.6144,1.5707,0.1414,0.1089,0.1606,0.8192,0.7822,9999,28.27,8.62,35.11,9999,5.236,0.1432,0.1092,0.1621,0.0698,0.0536,0.0798,0.3607,13.58,3.89,11.51,9999,4035.15,241.24,Muy poca área foliar
50,20210527,9999,9999,7.4,1.52,5.552,16.574,9999,9999,0.1249,0.1356,0.0939,1.0556,0.945,4.1919,92.86,25.61,121.03,9999,5.27,0.1278,0.1389,0.0969,0.0612,0.0634,0.0467,0.4824,46.07,12.39,39.25,9999,4252.81,235.77,nothing
