id_plant,phy,treatment_h2o,date,time,wp_mpa,obs
111,1,control,20210601,750,-0.19,nothing
20,2,control,20210601,750,-0.175,nothing
42,2,control,20210601,750,-0.202,nothing
42,2,control,20210601,750,-0.175,nothing
110,2,control,20210601,750,-0.193,nothing
36,1,control,20210601,1345,-0.166,nothing
36,1,control,20210601,1345,-0.171,2nd measurement
68,1,control,20210601,1240,-0.42,nothing
111,1,control,20210601,1430,-0.179,nothing
20,2,control,20210601,1000,-0.36,nothing
42,2,control,20210601,1110,-0.341,nothing
110,2,control,20210601,1150,-0.483,nothing
54,1,control,20210610,750,-0.186,nothing
54,1,control,20210610,750,-0.215,nothing
61,1,control,20210610,750,-0.214,nothing
61,1,control,20210610,750,-0.201,nothing
89,1,control,20210610,750,-0.198,nothing
89,1,control,20210610,750,-0.215,nothing
114,1,control,20210610,750,-0.222,nothing
114,1,control,20210610,750,-0.59,nothing
54,1,control,20210610,1300,-0.189,Top leaf WP= -0.71
61,1,control,20210610,1055,-0.355,nothing
89,1,control,20210610,1500,-0.248,nothing
114,1,control,20210610,1630,-0.210,WP high
114,1,control,20210610,1630,-0.711,2nd measurement
39,1,moderate drought,20210609,750,-0.348,nothing
39,1,moderate drought,20210609,750,-0.224,nothing
58,1,moderate drought,20210609,750,-0.222,nothing
58,1,moderate drought,20210609,750,-0.355,nothing
93,1,moderate drought,20210609,750,-0.448,nothing
93,1,moderate drought,20210609,750,-0.219,nothing
14,1,drought,20210609,750,-3.031,nothing
14,1,drought,20210609,750,-3.065,nothing
46,1,drought,20210609,750,-0.483,Muy poca área foliar
46,1,drought,20210609,750,-0.386,nothing
39,1,moderate drought,20210609,1500,-0.224,nothing
39,1,moderate drought,20210609,1500,-1.165,2nd measurement
39,1,moderate drought,20210609,1500,-0.682,3rd measurement
58,1,moderate drought,20210609,1310,-0.258,nothing
93,1,moderate drought,20210609,1000,-0.540,nothing
14,1,drought,20210609,1110,-3.6,nothing
46,1,drought,20210609,1130,-0.674,nothing
31,2,control,20210607,750,-0.119,nothing
31,2,control,20210607,750,-0.166,nothing
31,2,control,20210607,1530,-0.183,nothing
64,2,control,20210607,750,-0.207,nothing
64,2,control,20210607,750,-0.188,nothing
64,2,control,20210607,1130,-0.278,nothing
80,2,control,20210607,750,-0.190,nothing
80,2,control,20210607,750,-0.222,nothing
80,2,control,20210607,1320,-0.187,nothing
40,2,control,20210607,1650,-0.389,nothing
12,2,moderate drought,20210608,750,-0.395,nothing
12,2,moderate drought,20210608,750,-0.370,nothing
51,2,moderate drought,20210608,750,-1.629,nothing
81,2,moderate drought,20210608,750,-0.81,nothing
81,2,moderate drought,20210608,750,-0.379,nothing
24,2,drought,20210608,750,-2.432,nothing
24,2,drought,20210608,750,-2.446,nothing
116,2,drought,20210608,750,-1.628,nothing
116,2,drought,20210608,750,-2.575,nothing
12,2,moderate drought,20210608,1310,-0.364,nothing
51,2,moderate drought,20210608,1120,-1.828,nothing
81,2,moderate drought,20210608,1400,-0.292,No está indicada la hora
24,2,drought,20210608,1320,-3.237,nothing
116,2,drought,20210608,1120,-2.072,nothing
