"ID_plant","phytotron","water_treatment","date","long_Shist","diam_Shist","long_Sphl","diam_Sphl","TW_plant_kg","FW_Sphl","FW_SNSC","FW_Shist","FW_L1phl","FW_L2phl","FW_L3phl","FW_10LNSC","FW_10LSLA","FW_rootNSC","FW_S","FW_L","FW_root","FW_ss_soil","FW_soil_pot_kg","SW_L1phl","SW_L2phl","SW_L3phl","DW_L1phl","DW_L2phl","DW_L3phl","DW_10LSLA","DW_S","DW_L","DW_root","DW_ss_soil","DW_soil","W_pot","OBS","height_cm","stem_width_1_cm","stem_width_2_cm","branching","initial_height_cm","initial_stem_width_1_cm","initial_stem_width_2_cm","initial_branching","area"
31,2,"control",20210607,1.07,1.42,10.85,1.72,6.1105,26.7944,5.2397,1.7495,0.1703,0.1713,0.1013,0.8133,1.1117,2.8246,91.59,24.91,105.96,NA,5.864,0.1733,0.1733,0.1036,0.0778,0.0773,0.0461,0.5426,43.12,11.63,32.12,NA,4467.94,248.5,"nothing",137,1.78,"1.76",21,133,1.63,1.71,23,10215.906
33,2,"drought",20210527,NA,NA,1.33,8.65,4.893,14.319,4.2962,NA,NA,NA,NA,NA,1.4126,NA,79.33,16.25,147.56,NA,4.621,NA,NA,NA,NA,NA,NA,0.6581,39.92,12.11,48.85,NA,3872.4,238.5,"Subset de pesada del día 27/05",124,1.49,"1.54",18,127,1.37,1.42,19,14092.248
34,1,"drought",20210520,1.22,1.66,5.65,1.41,6.074,9.3238,4.2947,2.5665,0.2163,0.2294,0.1401,1.4817,0.7699,3.9672,87.23,24.87,NA,247.98,NA,0.2269,0.2434,0.1513,0.1057,0.1105,0.0693,0.3724,41.72,11.61,NA,182.67,NA,NA,"nothing",136,1.63,"1.61",22,136,1.41,1.46,23,8380.597
35,1,"drought",20210527,NA,NA,9.27,1.24,5.656,11.7163,1.9199,NA,0.1543,0.1354,0.1092,0.6718,0.8792,2.8707,45.84,11.21,81.55,NA,5.4745,0.1561,0.1503,0.1103,0.0709,0.0681,0.0496,0.4265,20.31,4.76,19.89,NA,4033.87,247.28,"nothing",112,1.36,"1.41",20,112,1.23,1.21,20,11453.288
36,1,"control",20210601,NA,NA,9.57,1.27,6.1245,13.5717,3.1476,NA,0.102,0.0974,0.1082,0.5634,0.8963,3.8561,54.92,16.15,NA,220.96,NA,0.1034,0.0989,0.1099,0.0481,0.0464,0.0512,0.4453,25.2,7.81,NA,163.2,NA,NA,"nothing",119,1.35,"1.36",26,118,1.91,1.09,27,9877.712
37,2,"drought",20210519,1.17,1.26,8.18,1.5,5.133,15.7764,3.8658,1.5383,0.1575,0.1442,0.1278,1.2286,1.155,3.6775,67.45,28.95,NA,169.78,NA,0.1619,0.1489,0.1318,0.0551,0.0524,0.045,0.4984,33.32,12.25,NA,135.98,NA,NA,"nothing",130,1.74,"1.68",26,126,1.62,1.54,26,13025.253
39,1,"moderate drought",20210609,NA,NA,6.01,1.31,5.97,9.5698,4.3193,NA,0.1786,0.1466,0.1397,0.8135,1.41,3.5777,68.9,18.78,NA,192.33,NA,0.1816,0.1478,0.141,0.0909,0.0732,0.0707,0.7305,33.85,9.36,NA,144.08,NA,NA,"nothing",109,1.44,"1.04",21,108.5,1.16,1.23,20,13601.135
40,2,"control",20210607,NA,NA,5.43,1.46,6.0525,10.7171,16.3655,NA,0.1623,0.1329,0.1744,1.0226,1.017,4.6086,73.63,20.63,NA,213.29,NA,0.1625,0.1339,0.1751,0.0753,0.0596,0.0794,0.5032,37.69,9.56,NA,159.55,NA,NA,"Submuestra de suelo secada a 70ºC. FW_SNSC muy alto??",122,2.05,"1.86",25,120,1.87,1.76,18,10273.334
41,2,"drought",20210527,NA,NA,9,0.97,5.587,7.8438,2.0661,NA,NA,NA,NA,NA,0.7946,NA,28.75,8.91,44.74,NA,5.443,NA,NA,NA,NA,NA,NA,0.3785,13.78,4.32,14.94,NA,4027.09,242.7,"Subset de pesada del día 27/05",101,1,"1.16",20,99,1.04,1,21,10327.183
42,2,"control",20210601,NA,NA,10.08,1.14,6.1915,10.7202,4.0408,NA,0.1529,0.1071,0.1309,0.863,1.2373,4.2642,44.98,12.3,62.84,NA,6.01,0.1558,0.1074,0.1343,0.0704,0.048,0.0618,0.577,21.86,5.8,17.83,200.07,4092.8,245.07,"Tiene muestra de ambos tipos de muestra de suelo (ss_soil y soil)",120,1.25,"1.32",18,119,1.03,1.12,19,13396.429
44,1,"control",20210518,0.72,1.15,1.29,8.59,6.731,10.5217,2.3726,0.8573,0.1509,0.1401,0.1344,1.098,0.8116,3.6002,51.07,19.6,NA,196.87,NA,0.1597,0.1458,0.143,0.07,0.0678,0.0645,0.3755,23.7,8.72,NA,140.51,NA,NA,"nothing",120,1.18,"1.24",24,111,1.07,1,23,9243.05
